Gene,NCBI_Gene_ID,Description,Function,GO_Terms,KEGG_Terms
PEX29,852090,N/A,"Involved in ER-dependent peroxisome organization. Located in endoplasmic reticulum and peroxisomal membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PHO8,852092,N/A,"Enables alkaline phosphatase activity. Involved in nicotinamide nucleotide metabolic process. Acts upstream of or within nucleotide catabolic process. Located in fungal-type vacuole membrane. Used to study several diseases, including bone disease (multiple); cryptorchidism; germ cell cancer (multiple); gonadoblastoma; and hypophosphatasia (multiple). Human ortholog(s) of this gene implicated in adult hypophosphatasia; childhood hypophosphatasia; hypophosphatasia; infantile hypophosphatasia; and inflammatory bowel disease. Orthologous to several human genes including ALPL (alkaline phosphatase, biomineralization associated); ALPG (alkaline phosphatase, germ cell); and ALPI (alkaline phosphatase, intestinal). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PKH1,852101,N/A,"Enables protein serine/threonine kinase activity. Involved in several processes, including cell integrity MAPK cascade; late endosome to vacuole transport via multivesicular body sorting pathway; and positive regulation of cytoplasmic mRNA processing body assembly. Located in cell cortex and cytosol. Human ortholog(s) of this gene implicated in prostate cancer. Orthologous to human PDPK1 (3-phosphoinositide dependent protein kinase 1) and PDPK2P (3-phosphoinositide dependent protein kinase 2, pseudogene). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
LPP1,852114,N/A,"Enables phosphatidate phosphatase activity. Involved in phospholipid metabolic process. Located in membrane. Orthologous to human PLPP1 (phospholipid phosphatase 1); PLPP2 (phospholipid phosphatase 2); and PLPP3 (phospholipid phosphatase 3). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PSP1,852116,N/A,"Enables mRNA binding activity. Located in P-body. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
GMC1,852117,N/A,"Predicted to enable ferroxidase activity. Involved in meiotic cell cycle and synaptonemal complex organization. Predicted to be active in fungal-type vacuole membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
GRX2,852124,N/A,"Enables disulfide oxidoreductase activity; glutathione peroxidase activity; and glutathione transferase activity. Involved in cellular response to oxidative stress and glutathione metabolic process. Located in cytosol and mitochondrion. Orthologous to human GLRX2 (glutaredoxin 2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
EMI2,852128,N/A,"Enables hexokinase activity. Involved in hexose metabolic process. Located in cytoplasm. Human ortholog(s) of this gene implicated in several diseases, including Charcot-Marie-Tooth disease type 4G; anemia (multiple); artery disease (multiple); glucose metabolism disease (multiple); and hematologic cancer (multiple). Orthologous to several human genes including GCK (glucokinase). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
EUG1,852130,N/A,"Enables protein disulfide isomerase activity; protein-disulfide reductase (glutathione) activity; and unfolded protein binding activity. Involved in protein folding. Located in endoplasmic reticulum. Human ortholog(s) of this gene implicated in Cole-Carpenter syndrome and autoimmune hepatitis. Orthologous to several human genes including PDIA3 (protein disulfide isomerase family A member 3). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
FPR2,852131,N/A,"Enables FK506 binding activity and peptidyl-prolyl cis-trans isomerase activity. Predicted to act upstream of or within chaperone-mediated protein folding and regulation of transcription by RNA polymerase II. Located in membrane. Used to study Huntington's disease. Orthologous to several human genes including FKBP2 (FKBP prolyl isomerase 2). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
SNA2,852138,N/A,"Located in fungal-type vacuole membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
HLR1,852141,N/A,"Involved in fungal-type cell wall organization. Located in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
APA2,852143,N/A,"Enables bis(5'-nucleosyl)-tetraphosphatase activity. Involved in nucleoside catabolic process. Located in cytoplasm and nucleus. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
HSP31,852146,N/A,"Enables glyoxalase III activity and protein folding chaperone. Involved in several processes, including cellular response to oxidative stress; chaperone-mediated protein folding; and methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione. Located in P-body and cytoplasmic stress granule. Used to study Parkinson's disease; cancer; and early-onset Parkinson's disease. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
IRC4,852153,N/A,"Involved in mitotic recombination and replication-born double-strand break repair via sister chromatid exchange. Located in cytoplasm and nucleus. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PAU10,852155,N/A,"Predicted to be a structural constituent of cell wall. Predicted to be involved in fungal-type cell wall organization. Located in fungal-type vacuole. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
VAB2,856713,N/A,"Involved in endosome organization and regulation of protein localization. Located in cytoplasm. Part of BLOC-1 complex. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
GLC3,856705,N/A,"Enables 1,4-alpha-glucan branching enzyme activity. Involved in glycogen biosynthetic process. Located in cytoplasm. Used to study glycogen storage disease IV. Human ortholog(s) of this gene implicated in glycogen storage disease IV and pulmonary tuberculosis. Orthologous to human GBE1 (1,4-alpha-glucan branching enzyme 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
UBC8,856704,N/A,"Enables ubiquitin-protein transferase activity. Involved in mitochondrial outer membrane translocase complex assembly; negative regulation of gluconeogenesis; and proteasome-mediated ubiquitin-dependent protein catabolic process. Located in cytoplasm. Orthologous to human UBE2H (ubiquitin conjugating enzyme E2 H). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
GTT3,856698,N/A,"Located in nuclear periphery. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SPF1,856681,N/A,"Enables phosphatidylinositol-4-phosphate binding activity. Involved in intracellular calcium ion homeostasis; intracellular manganese ion homeostasis; and sterol homeostasis. Located in cis-Golgi network and endoplasmic reticulum membrane. Orthologous to human ATP13A1 (ATPase 13A1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
CYC7,856672,N/A,"Enables electron transfer activity. Involved in mitochondrial electron transport, cytochrome c to oxygen and mitochondrial electron transport, ubiquinol to cytochrome c. Located in mitochondrial intermembrane space. Human ortholog(s) of this gene implicated in cholangiocarcinoma; lung non-small cell carcinoma; pancreatic cancer; and thrombocytopenia. Orthologous to human CYCS (cytochrome c, somatic). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YEF1,856670,N/A,"Enables NAD+ kinase activity and NADH kinase activity. Involved in NADP biosynthetic process. Orthologous to human NADK (NAD kinase). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
YEL047C,856664,N/A,"Enables fumarate reductase (NADH) activity. Involved in cellular response to anoxia. Located in cytosol. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
HHY1,856651,N/A,"Predicted to be located in membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PRB1,856649,N/A,"Enables serine-type endopeptidase activity. Involved in pexophagy; protein catabolic process in the vacuole; and sporulation resulting in formation of a cellular spore. Predicted to be located in fungal-type vacuole lumen. Human ortholog(s) of this gene implicated in familial hypercholesterolemia and hypobetalipoproteinemia. Orthologous to human PCSK9 (proprotein convertase subtilisin/kexin type 9). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
HXT13,856640,N/A,"Enables D-glucose transmembrane transporter activity; fructose transmembrane transporter activity; and mannose transmembrane transporter activity. Involved in hexose transmembrane transport; mannitol transmembrane transport; and sorbitol transmembrane transport. Located in endoplasmic reticulum. Orthologous to human SLC2A12 (solute carrier family 2 member 12). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
DSF1,856639,N/A,"Enables mannitol dehydrogenase activity. Predicted to act upstream of or within mannitol metabolic process. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
DLD3,856638,N/A,"Enables (D)-2-hydroxyglutarate-pyruvate transhydrogenase activity; D-lactate dehydrogenase (cytochrome) activity; and FAD binding activity. Involved in filamentous growth and lactate biosynthetic process. Located in cytoplasm. Human ortholog(s) of this gene implicated in D-2-hydroxyglutaric aciduria 1. Orthologous to human D2HGDH (D-2-hydroxyglutarate dehydrogenase). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
YEL073C,856636,N/A,N/A,N/A,N/A
PMI40,856720,N/A,"Enables mannose-6-phosphate isomerase activity. Involved in GDP-mannose biosynthetic process; cell wall mannoprotein biosynthetic process; and protein glycosylation. Located in cytoplasm and nucleus. Human ortholog(s) of this gene implicated in carbohydrate metabolic disorder and congenital disorder of glycosylation Ib. Orthologous to human MPI (mannose phosphate isomerase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
FMP52,856721,N/A,"Predicted to be involved in import into nucleus. Located in endoplasmic reticulum and mitochondrial outer membrane. Orthologous to human HTATIP2 (HIV-1 Tat interactive protein 2). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
YER010C,856728,N/A,"Enables 4-hydroxy-4-methyl-2-oxoglutarate aldolase activity and oxaloacetate decarboxylase activity. Involved in 3,4-dihydroxybenzoate catabolic process. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PRE1,856731,N/A,"Enables endopeptidase activator activity. Involved in proteasomal ubiquitin-independent protein catabolic process and proteasome-mediated ubiquitin-dependent protein catabolic process. Located in endoplasmic reticulum membrane and nucleus. Part of proteasome core complex, beta-subunit complex. Orthologous to human PSMB2 (proteasome 20S subunit beta 2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
HEM14,856733,N/A,"Enables oxygen-dependent protoporphyrinogen oxidase activity. Involved in heme biosynthetic process. Located in mitochondrial inner membrane. Used to study variegate porphyria. Human ortholog(s) of this gene implicated in variegate porphyria. Orthologous to human PPOX (protoporphyrinogen oxidase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
GPA2,856741,N/A,"Enables GTPase activity. Involved in several processes, including glucose mediated signaling pathway; invasive growth in response to glucose limitation; and pseudohyphal growth. Located in cytoplasm and plasma membrane. Human ortholog(s) of this gene implicated in several diseases, including Sturge-Weber syndrome; autosomal dominant hypocalcemia 2; color blindness (multiple); familial hypocalciuric hypercalcemia 2; and night blindness (multiple). Orthologous to several human genes including GNAI1 (G protein subunit alpha i1); GNAI2 (G protein subunit alpha i2); and GNAI3 (G protein subunit alpha i3). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
RPN3,856742,N/A,"Predicted to enable enzyme regulator activity. Predicted to be involved in ubiquitin-dependent protein catabolic process. Predicted to act upstream of or within regulation of protein catabolic process. Part of proteasome regulatory particle, lid subcomplex. Orthologous to human PSMD3 (proteasome 26S subunit, non-ATPase 3). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
GAL83,856749,N/A,"Contributes to AMP-activated protein kinase activity. Involved in several processes, including cell adhesion; invasive growth in response to glucose limitation; and regulation of protein-containing complex assembly. Located in cytoplasm and nuclear envelope lumen. Part of nucleotide-activated protein kinase complex. Orthologous to human PRKAB1 (protein kinase AMP-activated non-catalytic subunit beta 1) and PRKAB2 (protein kinase AMP-activated non-catalytic subunit beta 2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ZRG8,856755,N/A,"Involved in fungal-type cell wall organization. Located in cellular bud neck and mating projection tip. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
EDC2,856757,N/A,"Enables mRNA binding activity. Involved in deadenylation-dependent decapping of nuclear-transcribed mRNA and positive regulation of translation in response to stress. Located in nucleolus. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PHM8,856759,N/A,"Enables lysophosphatidic acid phosphatase activity and nucleotidase activity. Involved in several processes, including cellular response to phosphate starvation; response to carbon starvation; and triglyceride homeostasis. Located in cytoplasm and nucleus. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
FMP49,20098144,N/A,"Located in mitochondrion. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
HVG1,856761,N/A,"Predicted to enable GDP-mannose transmembrane transporter activity and antiporter activity. Predicted to be involved in GDP-mannose transmembrane transport. Predicted to act upstream of or within transmembrane transport. Located in endoplasmic reticulum. Orthologous to human TMEM241 (transmembrane protein 241). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
YER039C-A,856762,N/A,"Predicted to be located in membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SPO73,856770,N/A,"Involved in ascospore wall assembly and ascospore-type prospore membrane formation. Located in cytosol and prospore membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
HOM3,856778,N/A,"Enables aspartate kinase activity. Involved in homoserine biosynthetic process; methionine biosynthetic process; and threonine biosynthetic process. Located in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PIC2,856779,N/A,"Enables copper ion transmembrane transporter activity and phosphate transmembrane transporter activity. Involved in copper ion transmembrane transport; intracellular copper ion homeostasis; and phosphate ion transmembrane transport. Located in mitochondrion. Used to study mitochondrial metabolism disease. Orthologous to human SLC25A3 (solute carrier family 25 member 3). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
GIP2,856781,N/A,"Enables protein phosphatase regulator activity. Involved in glycogen metabolic process. Part of protein phosphatase type 1 complex. Human ortholog(s) of this gene implicated in hypoglycemia and type 2 diabetes mellitus. Orthologous to several human genes including PPP1R3B (protein phosphatase 1 regulatory subunit 3B) and PPP1R3C (protein phosphatase 1 regulatory subunit 3C). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YER062C,856791,N/A,"Enables glycerol-1-phosphatase activity. Involved in glycerol biosynthetic process and response to osmotic stress. Located in cytoplasm and nucleus. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
RRT13,856796,N/A,"Orthologous to human FBXW9 (F-box and WD repeat domain containing 9). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
RGI1,856797,N/A,"Involved in energy reserve metabolic process. Located in cell periphery. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YER079W,856812,N/A,"Located in cytoplasm and nucleus. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SER3,856814,N/A,"Enables alpha-ketoglutarate reductase activity and phosphoglycerate dehydrogenase activity. Involved in L-serine biosynthetic process. Located in cytoplasm. Human ortholog(s) of this gene implicated in Neu-Laxova syndrome 1; PHGDH deficiency; and amino acid metabolic disorder. Orthologous to human PHGDH (phosphoglycerate dehydrogenase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SHC1,856832,N/A,"Enables enzyme activator activity. Involved in ascospore formation and chitin biosynthetic process. Located in prospore membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
UBP9,856835,N/A,"Predicted to enable cysteine-type deubiquitinase activity. Predicted to be involved in regulation of protein stability. Predicted to act upstream of or within proteolysis. Located in cytoplasm. Orthologous to human USP12 (ubiquitin specific peptidase 12) and USP46 (ubiquitin specific peptidase 46). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
SSA4,856840,N/A,"Enables unfolded protein binding activity. Involved in SRP-dependent cotranslational protein targeting to membrane, translocation and protein folding. Located in cytoplasm and nucleus. Human ortholog(s) of this gene implicated in several diseases, including Kawasaki disease; artery disease (multiple); autoimmune disease of musculoskeletal system (multiple); neurodegenerative disease (multiple); and schizophrenia (multiple). Orthologous to several human genes including HSPA1L (heat shock protein family A (Hsp70) member 1 like); HSPA1A (heat shock protein family A (Hsp70) member 1A); and HSPA1B (heat shock protein family A (Hsp70) member 1B). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
RTT105,856841,N/A,"Enables nuclear import signal receptor activity and protein carrier chaperone. Involved in DNA metabolic process; negative regulation of gene expression, epigenetic; and protein import into nucleus. Located in cytoplasm. Is active in nucleus. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
AVT6,856855,N/A,"Enables L-aspartate transmembrane transporter activity and L-glutamate transmembrane transporter activity. Involved in amino acid transmembrane export from vacuole. Located in fungal-type vacuole membrane. Human ortholog(s) of this gene implicated in foveal hypoplasia 2. Orthologous to several human genes including SLC38A7 (solute carrier family 38 member 7). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YER135C,856874,N/A,N/A,N/A,N/A
GDI1,856876,N/A,"Enables Rab GDP-dissociation inhibitor activity. Involved in vesicle-mediated transport. Predicted to be located in cytoplasm. Predicted to be active in cytosol. Used to study cancer. Human ortholog(s) of this gene implicated in non-syndromic X-linked intellectual disability; non-syndromic X-linked intellectual disability 41; and psychotic disorder. Orthologous to human GDI1 (GDP dissociation inhibitor 1) and GDI2 (GDP dissociation inhibitor 2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YER138C,856879,N/A,"Predicted to enable several functions, including DNA polymerase activity; RNA nuclease activity; and peptidase activity. Predicted to be involved in retrotransposition. Predicted to act upstream of or within several processes, including DNA metabolic process; transposition; and viral translational frameshifting. Located in nucleus. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
COX15,856884,N/A,"Enables oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor. Involved in heme A biosynthetic process. Located in mitochondrial inner membrane. Used to study ovarian dysfunction. Human ortholog(s) of this gene implicated in Leigh disease; hypertrophic cardiomyopathy; and mitochondrial complex IV deficiency nuclear type 6. Orthologous to human COX15 (cytochrome c oxidase assembly homolog COX15). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
MAG1,856885,N/A,"Enables DNA-3-methyladenine glycosylase activity and damaged DNA binding activity. Involved in DNA alkylation repair and base-excision repair, AP site formation. Predicted to be part of protein-DNA complex. Predicted to be active in nucleus. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
DDI1,856886,N/A,"Enables several functions, including aspartic-type endopeptidase activity; proteasome regulatory particle binding activity; and ubiquitin binding activity. Involved in positive regulation of DNA replication; protein secretion; and protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway. Located in plasma membrane. Orthologous to human DDI1 (DNA damage inducible 1 homolog 1) and DDI2 (DNA damage inducible 1 homolog 2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SPI1,856893,N/A,"Predicted to be a structural constituent of cell wall. Involved in response to acidic pH. Located in fungal-type cell wall. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YER158C,856903,N/A,"Predicted to enable actin binding activity. Predicted to be involved in actin cytoskeleton organization. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YER160C,856906,N/A,"Predicted to enable several functions, including DNA polymerase activity; RNA nuclease activity; and peptidase activity. Predicted to be involved in retrotransposition. Predicted to act upstream of or within several processes, including DNA metabolic process; transposition; and viral translational frameshifting. Located in nucleus. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
RAD4,856909,N/A,"Enables single-strand break-containing DNA binding activity. Involved in DNA metabolic process; negative regulation of transcription by RNA polymerase II; and proteasome-mediated ubiquitin-dependent protein catabolic process. Located in cytosol and nucleus. Part of nucleotide-excision repair factor 2 complex. Used to study xeroderma pigmentosum. Human ortholog(s) of this gene implicated in pancreatic cancer; serous cystadenocarcinoma; xeroderma pigmentosum; and xeroderma pigmentosum group C. Orthologous to human XPC (XPC complex subunit, DNA damage recognition and repair factor). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
BMH1,856924,N/A,"Enables DNA replication origin binding activity; RNA polymerase II-specific DNA-binding transcription factor binding activity; and phosphoserine residue binding activity. Involved in several processes, including aggresome assembly; intracellular signal transduction; and regulation of primary metabolic process. Located in cytoplasm and nucleus. Orthologous to human YWHAE (tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PUG1,856934,N/A,"Involved in heme transmembrane transport. Located in plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YFL002W-A,850548,N/A,"Predicted to enable several functions, including DNA polymerase activity; RNA nuclease activity; and peptidase activity. Predicted to be involved in retrotransposition. Predicted to act upstream of or within several processes, including DNA metabolic process; transposition; and viral translational frameshifting. Located in nucleus. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
HSP12,850532,N/A,"Enables lipid binding activity. Involved in several processes, including cellular response to heat; cellular response to osmotic stress; and cellular response to oxidative stress. Located in cytosol; endosome; and plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
MDJ1,850530,N/A,"Enables ATPase activator activity and unfolded protein binding activity. Involved in several processes, including protein folding; protein quality control for misfolded or incompletely synthesized proteins; and response to heat. Located in mitochondrial matrix. Orthologous to human DNAJA3 (DnaJ heat shock protein family (Hsp40) member A3). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PAU5,850524,N/A,"Predicted to be a structural constituent of cell wall. Predicted to be involved in fungal-type cell wall organization. Located in cytoplasm and membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
STE2,850518,N/A,"Enables mating-type alpha-factor pheromone receptor activity. Involved in cytogamy and pheromone-dependent signal transduction involved in conjugation with cellular fusion. Located in plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
CAK1,850515,N/A,"Enables cyclin-dependent protein kinase activating kinase activity. Involved in G2/M transition of mitotic cell cycle; meiotic cell cycle; and negative regulation of transcription initiation by RNA polymerase II. Located in cytoplasm. Used to study cystinosis; encephalitis; and intellectual disability. Human ortholog(s) of this gene implicated in several diseases, including familial melanoma; high grade glioma (multiple); pancreatic carcinoma (multiple); primary autosomal recessive microcephaly 12; and type 2 diabetes mellitus. Orthologous to human CDK4 (cyclin dependent kinase 4) and CDK6 (cyclin dependent kinase 6). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
AGX1,850514,N/A,"Enables alanine-glyoxylate transaminase activity. Involved in glycine biosynthetic process, by transamination of glyoxylate. Located in cytosol and mitochondrion. Used to study primary hyperoxaluria. Human ortholog(s) of this gene implicated in primary hyperoxaluria type 1. Orthologous to human AGXT (alanine--glyoxylate aminotransferase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YFL040W,850503,N/A,"Predicted to enable myo-inositol:proton symporter activity. Predicted to be involved in myo-inositol import across plasma membrane. Located in fungal-type vacuole and prospore membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YFL042C,850501,N/A,"Predicted to enable sterol binding activity and sterol transfer activity. Predicted to be involved in intracellular sterol transport. Located in mitochondria-associated endoplasmic reticulum membrane contact site and nucleus-vacuole junction. Orthologous to human GRAMD1A (GRAM domain containing 1A); GRAMD1B (GRAM domain containing 1B); and GRAMD1C (GRAM domain containing 1C). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YFL052W,850492,N/A,"Enables DNA-binding transcription activator activity, RNA polymerase II-specific and RNA polymerase II transcription regulatory region sequence-specific DNA binding activity. Involved in cellular response to ethanol and positive regulation of transcription by RNA polymerase II. Predicted to be located in nucleus. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
THI5,850486,N/A,"Predicted to enable metal ion binding activity and transferase activity. Involved in thiamine biosynthetic process. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SNZ3,850485,N/A,"Enables pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity. Involved in pyridoxine biosynthetic process and thiamine biosynthetic process. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SNO3,850484,N/A,"Predicted to enable hydrolase activity and pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity. Predicted to contribute to glutaminase activity. Involved in pyridoxine metabolic process. Predicted to be part of glutaminase complex. Predicted to be active in cytosol. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
COS4,850482,N/A,"Predicted to be involved in protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway. Located in endosome. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YPI1,850553,N/A,"Enables protein phosphatase activator activity and protein serine/threonine phosphatase inhibitor activity. Involved in several processes, including glycogen metabolic process; mitotic spindle assembly checkpoint signaling; and regulation of protein localization to nucleus. Located in nucleus. Orthologous to human PPP1R11 (protein phosphatase 1 regulatory inhibitor subunit 11). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
FAR7,850559,N/A,"Involved in re-entry into mitotic cell cycle after pheromone arrest. Located in endoplasmic reticulum. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
CMK1,850568,N/A,"Enables calcium/calmodulin-dependent protein kinase activity. Involved in signal transduction. Located in cytoplasm. Human ortholog(s) of this gene implicated in cocaine dependence. Orthologous to several human genes including CAMKV (CaM kinase like vesicle associated); CAMK1G (calcium/calmodulin dependent protein kinase IG); and PNCK (pregnancy up-regulated nonubiquitous CaM kinase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
GSY1,850569,N/A,"Enables alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity. Involved in glycogen biosynthetic process. Located in mitochondrion. Human ortholog(s) of this gene implicated in cardiovascular system disease and glycogen storage disease. Orthologous to human GYS1 (glycogen synthase 1) and GYS2 (glycogen synthase 2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
IGD1,850572,N/A,"Enables enzyme inhibitor activity. Involved in negative regulation of glycogen catabolic process. Located in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ATG18,850577,N/A,"Enables phosphatidylinositol phosphate binding activity and ubiquitin binding activity. Involved in several processes, including macroautophagy; vacuolar protein processing; and vacuolar transport. Located in several cellular components, including fungal-type vacuole membrane; phagophore; and phagophore assembly site. Part of PAS complex. Orthologous to human WIPI1 (WD repeat domain, phosphoinositide interacting 1) and WIPI2 (WD repeat domain, phosphoinositide interacting 2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
HIS2,850581,N/A,"Enables histidinol-phosphatase activity. Involved in L-histidine biosynthetic process. Located in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ULI1,850583,N/A,"Involved in endoplasmic reticulum unfolded protein response. Located in endoplasmic reticulum. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ERJ5,850602,N/A,"Involved in protein folding. Located in endoplasmic reticulum. Orthologous to human DNAJC1 (DnaJ heat shock protein family (Hsp40) member C1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
KEG1,850603,N/A,"Involved in (1->6)-beta-D-glucan biosynthetic process and chromosome organization. Located in endoplasmic reticulum membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YFR045W,850606,N/A,"Predicted to enable citrate secondary active transmembrane transporter activity. Predicted to be involved in mitochondrial citrate transmembrane transport. Predicted to act upstream of or within transmembrane transport. Predicted to be located in mitochondrial inner membrane. Predicted to be active in mitochondrion. Human ortholog(s) of this gene implicated in 2-hydroxyglutaric aciduria; combined D-2- and L-2-hydroxyglutaric aciduria; and congenital myasthenic syndrome. Orthologous to human SLC25A1 (solute carrier family 25 member 1). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
YMR31,850610,N/A,"A structural constituent of ribosome. Contributes to oxoglutarate dehydrogenase (succinyl-transferring) activity. Involved in 2-oxoglutarate metabolic process and tricarboxylic acid cycle. Located in mitochondrial ribosome. Part of oxoglutarate dehydrogenase complex. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PRE4,850611,N/A,"Involved in proteasomal ubiquitin-independent protein catabolic process; proteasome assembly; and proteasome-mediated ubiquitin-dependent protein catabolic process. Located in proteasome storage granule. Part of proteasome core complex, beta-subunit complex. Human ortholog(s) of this gene implicated in proteasome-associated autoinflammatory syndrome 3. Orthologous to human PSMB4 (proteasome 20S subunit beta 4). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
